player,catch,run_out,stumping,total_fielding
A Ahmadhel,1,0,0,1
A Alexander,2,2,0,4
A Amado,2,0,0,2
A Andrews,4,0,0,4
A Aravinddaraj,1,0,0,1
A Ashish Reddy,11,3,0,14
A Ashokan,10,3,0,13
A Athanaze,9,0,0,9
A Badoni,24,1,0,25
A Bagai,3,1,3,7
A Balbirnie,34,3,0,37
A Bhadauria,1,0,0,1
A Bhagwat,2,0,0,2
A Bharwad,1,0,0,1
A Bishnoi,1,1,0,2
A Bohara,10,2,0,12
A Bramble,10,0,1,11
A Bushell,3,1,1,5
A Busing-Volschenk,2,0,0,2
A Chandila,2,0,0,2
A Chaubey,1,1,0,2
A Chopra,2,1,0,3
A Choudhary,4,1,0,5
A Conteh,2,0,0,2
A Dananjaya,8,0,0,8
A Davidson Soler,4,2,5,11
A Desai,3,0,0,3
A Dhabe,1,0,0,1
A Dhingra,1,2,0,3
A Dizija,5,0,0,5
A Djorovic,2,1,0,3
A Dutt,2,1,0,3
A Ferguson,5,2,0,7
A Flintoff,10,0,0,10
A G Pradeep,1,0,0,1
A Gbla,4,2,0,6
A Gorawara,3,0,0,3
A Govorko,4,0,0,4
A Gulati,1,1,0,2
A Halbhavi,3,1,0,4
A Harris,9,1,0,10
A Husain,2,0,0,2
A Ilaoa,7,2,1,10
A Johnmary,1,0,0,1
A Johnson,11,1,0,12
A Kadowaki Fleming,1,0,0,1
A Kainessie,2,0,0,2
A Kalasi,3,0,0,3
A Kamboj,6,0,0,6
A Kansonkho,2,1,0,3
A Kapoor,1,0,0,1
A Kaul,2,0,0,2
A Khan,0,1,0,1
A Kheterpal,3,2,0,5
A Kirschbaum,9,1,0,10
A Kumble,9,0,0,9
A Kuthalingham,0,1,0,1
A Langham,0,1,0,1
A Limdawala,4,1,0,5
A Lyth,6,0,0,6
A Maheshwari,4,0,0,4
A Manepalli,7,5,0,12
A Manohar,19,2,0,21
A Manousis,0,2,2,4
A Mansale,15,1,0,16
A Martel,3,0,0,3
A Martin,3,0,0,3
A McAuley,3,1,0,4
A McKnight,1,1,0,2
A Mehmood,1,0,0,1
A Mene-Ejegi,4,3,0,7
A Mhatre,4,0,0,4
A Mishra,24,10,0,34
A Mithun,13,1,0,14
A Modi,2,0,0,2
A Mongar,0,1,0,1
A Morris,2,0,0,2
A Mukund,6,2,0,8
A Mundra,7,5,2,14
A Mustafa,3,1,0,4
A Mutreja,6,1,0,7
A Nagarajan,2,1,0,3
A Nagwaswalla,4,2,0,6
A Nanda,9,2,0,11
A Nao,3,3,0,6
A Nathwani,1,0,0,1
A Natubhai Ahir,11,4,5,20
A Ndlovu,1,0,0,1
A Nehra,20,6,0,26
A Neill,3,0,0,3
A Nel,1,0,0,1
A Nimaga,1,0,0,1
A Nortje,26,13,0,39
A Osei,1,0,1,2
A Otwani,4,0,0,4
A Oxley,2,0,0,2
A Parima,9,1,0,10
A Patmore,8,7,7,22
A Paul,11,1,0,12
A Phillip,3,0,0,3
A Poulose,2,0,0,2
A Prashar,2,0,0,2
A Prateek Reddy,1,0,1,2
A Pratyush Kumar,4,1,0,5
A Pusthay,4,1,0,5
A Raghuvanshi,6,0,0,6
A Rajshekara,1,0,0,1
A Randhawa,4,0,0,4
A Rangaswamy,1,0,0,1
A Raza,22,7,2,31
A Reyes,6,2,0,8
A Sarma,1,0,0,1
A Saud,2,0,2,4
A Shahi,5,0,0,5
A Shahzad,1,0,0,1
A Sharafu,20,0,0,20
A Sharma,5,2,2,9
A Sheth,11,2,0,13
A Shreshta,17,5,1,23
A Shukla,5,0,0,5
A Simelane,4,0,0,4
A Singh,1,0,0,1
A Singhania,3,0,0,3
A Sokovagone,3,1,0,4
A Symonds,23,3,0,26
A Tomar,4,0,0,4
A Tripathi,1,0,0,1
A Turay,3,1,0,4
A Turkmen,4,1,0,5
A Vala,27,4,0,31
A Venkatesh,9,1,0,10
A Wright,5,0,0,5
A Zampa,32,2,0,34
AA Bamal,2,0,0,2
AA Barot,2,0,0,2
AA Bilakhia,1,0,0,1
AA Chakraborty,0,1,0,1
AA Chavan,3,0,0,3
AA Choudhury,2,0,0,2
AA Gajic,5,1,0,6
AA Herwadkar,11,2,0,13
AA Hussein,2,0,0,2
AA Jangoo,12,0,2,14
AA Jhunjhunwala,10,4,0,14
AA Kargave,1,0,0,1
AA Kazi,2,0,0,2
AA Navicha,4,0,0,4
AA Obanda,5,3,0,8
AA Onikoyi,8,1,0,9
AA Rahayu,8,1,0,9
AA Sarwate,1,0,0,1
AAA Patel,2,0,0,2
AAP Atkinson,1,0,0,1
AAP Rivero,9,4,0,13
AAhan Achar,1,1,0,2
AB Agarkar,4,3,0,7
AB Barath,2,0,0,2
AB Bhadoriya,1,0,0,1
AB Dinda,14,6,0,20
AB Fudadin,3,0,0,3
AB Kamara,3,0,0,3
AB McDonald,1,0,0,1
AB de Villiers,194,32,16,242
AC Agar,78,4,0,82
AC Blizzard,9,2,0,11
AC Botha,5,0,0,5
AC Douglas,11,0,0,11
AC Evans,8,2,0,10
AC Gilchrist,68,22,16,106
AC McDermott,5,0,0,5
AC Thomas,12,2,0,14
AC Voges,31,4,0,35
ACF Stokes,4,2,0,6
AD Algar,2,0,0,2
AD Chopra,1,0,0,1
AD Dore,2,0,0,2
AD Hales,112,2,0,114
AD Mascarenhas,12,1,0,13
AD Mathews,49,13,0,62
AD Nath,19,0,1,20
AD Russell,119,15,0,134
ADL Stokoe,1,0,0,1
ADS Fletcher,97,12,18,127
AE Isesele,4,2,0,6
AE Paraam,3,2,0,5
AF Buurman,0,1,0,1
AF Ifill,5,0,0,5
AF Milne,25,7,0,32
AG Cremer,6,1,0,7
AG Harriott,2,1,0,3
AG Murtaza,3,1,0,4
AG Paunikar,7,1,3,11
AG Prince,0,1,0,1
AG Weligamage,4,1,0,5
AGS Gous,10,4,1,15
AH Hooda,3,0,0,3
AH Passi,1,0,0,1
AI Ross,47,3,0,50
AJ Ayannaike,8,0,1,9
AJ Crosthwaite,3,4,3,10
AJ Doolan,16,0,0,16
AJ Finch,121,12,0,133
AJ Hose,16,0,0,16
AJ Hosein,34,0,0,34
AJ Jabiri,7,0,0,7
AJ Michael,0,2,0,2
AJ Mosca,8,2,0,10
AJ Nair,8,0,0,8
AJ Parmar,5,0,0,5
AJ Redmond,2,0,0,2
AJ Strauss,1,0,0,1
AJ Turner,53,3,0,56
AJ Tye,52,13,0,65
AJA Samuels,2,1,0,3
AK Chahal,1,0,0,1
AK Gokoel,4,0,0,4
AK Kitchen,3,0,0,3
AK Markram,98,3,0,101
AK Mohan,7,2,0,9
AK Muslar,0,1,3,4
AK Perera,1,0,0,1
AK Sah,13,1,0,14
AK Sarkar,2,1,0,3
AKS Bains,11,1,8,20
AL Fekete,1,0,0,1
AL Kerai,4,1,0,5
AL Menaria,8,2,0,10
AL Phehlukwayo,12,2,0,14
AL Stephen,3,0,0,3
AM Fernando,1,0,0,1
AM Hardie,33,5,0,38
AM Joshi,2,0,0,2
AM Kimote,17,3,0,20
AM McCarthy,11,0,0,11
AM Nayar,13,2,0,15
AM Oyede,2,0,0,2
AM Phangiso,2,0,0,2
AM Rahane,108,12,0,120
AM Rajpurohit,2,0,0,2
AM Rossington,6,2,5,13
AM Salvi,2,0,0,2
AM Tribe,7,3,2,12
AMA Dewar,1,0,0,1
AN Ahmed,7,4,0,11
AN Cook,1,0,0,1
AN Ghosh,4,1,0,5
AN Hyobeom,2,0,0,2
AN Kervezee,2,0,0,2
AN Lascu,5,0,0,5
AN Longchar,1,0,0,1
AN Petersen,1,0,0,1
AN Toube,6,0,1,7
AO Suji,2,1,0,3
AP Devcich,12,1,0,13
AP Dole,2,0,0,2
AP Majumdar,5,0,0,5
AP Rajeevan,24,12,6,42
AP Richardson,1,0,0,1
AP Sharma,2,1,0,3
AP Tare,34,1,11,46
AP Yadav,17,10,7,34
AQM Yako,1,0,0,1
AR Adams,1,0,0,1
AR Balla,3,0,0,3
AR Bawne,6,1,0,7
AR Berenger,2,0,0,2
AR Cusack,4,0,0,4
AR Easwaran,4,2,0,6
AR Keath,2,0,0,2
AR Kumar,6,0,0,6
AR Lamba,2,0,0,2
AR Leo,0,2,0,2
AR McBrine,11,0,0,11
AR Mokhade,2,0,0,2
AR Naidoo,4,0,0,4
AR Nedd,3,0,0,3
AR Nurse,27,0,0,27
AR Pandey,3,0,0,3
AR Patel,106,14,0,120
AR Patwa,14,4,0,18
AR Perez Rivero,1,1,0,2
AR Puri,7,1,0,8
AR Ramjani,13,2,0,15
ARA Chambers,3,0,0,3
ARB Singh,0,1,0,1
ARH Patel,0,1,0,1
AS Abioye,2,0,0,2
AS Dean,1,0,0,1
AS Joseph,44,8,0,52
AS Karambelkar,5,0,0,5
AS Mehmi,5,1,0,6
AS Rajpoot,7,3,0,10
AS Raut,18,6,0,24
AS Roy,18,3,0,21
AS Samra,6,1,0,7
AS Surwar,1,1,0,2
AS Thakare,1,0,0,1
AS Thakur,1,0,0,1
AS Wright,1,0,0,1
AS Yadav,1,1,0,2
ASF Sirah,3,2,0,5
AT Carey,74,7,16,97
AT Nidamanuru,4,1,0,5
AT Rayudu,79,14,2,95
AU Rashid,36,3,0,39
AUK Pathan,4,1,0,5
AUKDS Kalugala,3,1,0,4
AV Kolhar,1,1,0,2
AV Lalcheta,5,0,0,5
AV Lazarus,22,2,0,24
AV Rajput,4,0,0,4
AV Wankhade,21,1,0,22
AW Hawkins-Kay,5,0,0,5
AW O'Brien,5,1,0,6
AW Robinson,2,2,0,4
AW Summers,1,0,0,1
AWJ Auguste,3,1,0,4
Aaftab Alam Khan,15,6,2,23
Aakash Chand,1,0,0,1
Aakash Verma,1,0,0,1
Aamer Azmat,8,1,0,9
Aamer Jamal,12,3,0,15
Aamer Yamin,10,2,0,12
Aamir Gani,2,0,0,2
Aamir Kaleem,14,1,0,15
Aanshul Gupta,3,0,0,3
Aaqib Khan,1,0,0,1
Aaqib Sulehri,0,1,0,1
Aarif Sheikh,10,2,0,12
Aaron Jones,11,2,0,13
Aarya Desai,2,0,0,2
Aasif Sheikh,35,15,13,63
Aayan Afzal Khan,5,2,0,7
Abbas Afridi,11,1,0,12
Abbas Ghani,13,2,0,15
Abdul Basith,2,0,0,2
Abdul Hashim,14,5,5,24
Abdul Majid Abbasi,11,4,0,15
Abdul Naser Baluch,4,1,0,5
Abdul Nasir,3,0,0,3
Abdul Rahman,3,0,0,3
Abdul Razzaq,2,1,0,3
Abdul Samad,52,1,0,53
Abdul Shakoor,5,3,3,11
Abdul Shakoor (2),2,0,0,2
Abdul Stanikzai,3,0,0,3
Abdul Waheed,18,2,0,20
Abdul Wahid,4,1,0,5
Abdul-Shakoor Rahimzei,9,1,0,10
Abdullah Akbarjan,5,2,0,7
Abdullah Jasat,0,1,0,1
Abdullah Khan Lodhi,1,4,1,6
Abdullah Mahmood,5,0,0,5
Abdullah Rana,0,1,0,1
Abdullah Shafique,13,3,0,16
Abdullah Shahid,1,0,0,1
Abdullah Sheikh,1,0,0,1
Abdur Rahman Sudais,2,0,0,2
Abdur Razzak,7,1,0,8
Abdur Rehman,7,0,0,7
Abhay Negi,7,1,0,8
Abhijeet Ahuja,5,0,0,5
Abhijeet Saket,1,0,0,1
Abhilash Gogoi,2,0,0,2
Abhilash Patil,1,0,0,1
Abhimanyu Chauhan,1,0,0,1
Abhimanyu Rana,1,1,0,2
Abhinav Dixit,3,0,0,3
Abhinav Srivastava,1,0,0,1
Abhisek Das,5,0,0,5
Abhishek Ahuja,14,5,3,22
Abhishek Bhandari,3,0,0,3
Abhishek Goswami,3,0,0,3
Abhishek Gupta,3,0,1,4
Abhishek Pandey,1,0,0,1
Abhishek Sakuja,0,1,0,1
Abhishek Sharma,43,1,0,44
Abhishek Tanwar,1,1,0,2
Abhishek Thakuri,3,0,1,4
Abhishek Yadav,1,0,0,1
Abid Mushtaq,2,1,0,3
Abishek Porel,11,4,0,15
Abraash Khan,1,0,0,1
Abrar Ahmed,6,0,0,6
Abrar Bilal,15,4,6,25
Absar Khan,1,0,0,1
Abu Hider,2,0,0,2
Abu Zar,0,1,0,1
Abubacarr Kuyateh,1,3,0,4
Abul Farhad,2,0,0,2
Achit Shigwan,3,0,0,3
Adil Butt,2,3,0,5
Adil Reshi,2,0,0,2
Aditya,1,0,0,1
Aditya Garhwal,2,0,0,2
Aditya Kaushik,5,0,0,5
Aditya Panwar,2,1,0,3
Aditya Waghmode,3,0,0,3
Adnan Idrees,10,1,0,11
Adnan Ilyas,2,0,0,2
Adnan Mirza,4,0,0,4
Adnan Razzaq,2,0,0,2
Afif Hossain,19,6,0,25
Aftab Ahmed,4,0,0,4
Aftab Hussain,1,0,0,1
Aftab Ibrahim,2,0,0,2
Aftab Kayani,2,0,0,2
Agha Salman,14,3,0,17
Agniv Pan,1,0,0,1
Ahmad Ramdoni,35,14,8,57
Ahmad Raza,3,0,0,3
Ahmadullah Shinwari,4,2,0,6
Ahmed Aqeel,6,3,0,9
Ahmed Baladraf,1,1,0,2
Ahmed Banday,1,1,0,2
Ahmed Daniyal,3,0,0,3
Ahmed Faiz,21,5,0,26
Ahmed Hassan,17,7,2,26
Ahmed Raza,17,5,0,22
Ahmed Shah,3,0,1,4
Ahmed Shehzad,43,4,0,47
Ahmed Wardak,1,0,0,1
Ahmer Bin Nisar,17,4,0,21
Ahsan Ali,8,0,0,8
Ahsan Bhatti,1,0,0,1
Ahsan Khan,1,0,0,1
Ahsan Malik,9,5,0,14
Aimal Khan,0,1,0,1
Ainool Hafizs,22,17,10,49
Ainool Haqqiem,1,0,2,3
Aishwary Mourya,1,0,0,1
Aizaz Cheema,1,0,0,1
Aizaz Khan,20,8,0,28
Ajay Mandal,6,1,0,7
Ajay Sarkar,3,0,0,3
Akash Babu,1,0,0,1
Akash Bhandari,7,3,0,10
Akash Choudhary,5,3,0,8
Akash Deep,6,1,0,7
Akash Luitel,1,0,0,1
Akash Madhwal,4,2,0,6
Akash Parkar,3,0,0,3
Akash Raj,1,0,0,1
Akash Sengupta,1,0,0,1
Akash Singh,3,0,0,3
Akash Sudan,2,0,0,2
Akash Vasisht,6,2,0,8
Akbar Khan,1,0,0,1
Akbar-ur-Rehman,3,0,0,3
Akeem Jordan,1,1,0,2
Akhil Anil,5,0,0,5
Akhil Arjunan,1,1,0,2
Akhil Kumar,4,2,0,6
Akhil Rajput,0,0,1,1
Akhilesh Sahani,3,1,0,4
Akif Javed,3,0,0,3
Akif Raja,2,1,0,3
Akramullah Malikzada,1,0,0,1
Akshay Chandran,2,0,0,2
Akshay Karnewar,12,6,0,18
Akshay Wadkar,14,1,1,16
Akshay Wakhare,9,1,0,10
Al Bashid Muhammed,5,1,0,6
Al-Amin Hossain,5,0,0,5
Alam Nakash,3,0,0,3
Alexandros Karvelas,1,0,0,1
Alfredo Puentes,1,0,0,1
Ali Dawood,11,2,0,13
Ali Farasat,0,2,0,2
Ali Hasan,1,1,0,2
Ali Hussain,1,1,0,2
Ali Khan,12,0,0,12
Ali Masood,8,3,0,11
Ali Nadeem,1,0,0,1
Ali Naseer,19,2,0,21
Ali Nayyer,9,1,0,10
Ali Rasool,1,0,0,1
Ali Raza,2,1,0,3
Ali Saleem,3,0,0,3
Ali Sheikh,4,2,0,6
Ali Waqar,1,0,0,1
Ali Yalmaz,3,0,0,3
Ali Zaheer,4,0,0,4
Alok Kapali,2,1,0,3
Alok Sahoo,2,0,0,2
Altaf Gill,4,0,0,4
Amad Butt,11,0,0,11
Aman Desai,13,1,1,15
Aman Hakim Khan,18,0,0,18
Amandeep Khare,13,1,0,14
Amandeep Singh,4,1,0,5
Amar Naeem,5,2,0,7
Amar Sharma,5,2,0,7
Ameel Mauroof,1,0,0,1
Ameer Saiyed,1,0,0,1
Amiangshu Sen,1,0,0,1
Aminuddin Ramly,5,0,0,5
Aminul Islam,1,0,0,1
Aminullah Tanha,0,1,0,1
Amir Ali,1,0,0,1
Amir Farooq,2,1,0,3
Amir Hayat,0,1,0,1
Amir Khan,1,0,0,1
Amir Mangal,1,0,0,1
Amir Sharif,3,0,0,3
Amir Zaib,7,2,0,9
Amit Ali,0,3,0,3
Amit Chopra,1,0,0,1
Amit Mishra,2,1,0,3
Amit Pachhara,2,0,0,2
Amit Sinha,10,0,0,10
Amit Verma,3,1,0,4
Amit Yadav,1,0,0,1
Amjad Ali,1,0,0,1
Amjad Javed,5,1,0,6
Amjad Mahboob,4,1,0,5
Amjad Sher,10,4,0,14
Amlanjyoti Das,5,1,0,6
Ammar Zuhdi Hazalan,2,0,1,3
Amod Yadav,1,0,0,1
Amogh Desai,5,0,0,5
Amoluk Singh,0,1,0,1
Amos Rai,1,0,0,1
Amrit Lubana,1,0,0,1
Amulya Pandrekar,5,0,0,5
Anam Mollik,1,0,0,1
Anamul Haque,4,1,1,6
Anand Bais,1,0,0,1
Anand Rajan,3,2,0,5
Anand Singh,7,0,0,7
Anas Khan,2,1,0,3
Anasim Khan,1,0,0,1
Andre Jarju,4,0,0,4
Aniket Verma,7,1,0,8
Anique Uddin,5,0,0,5
Aniruddha Joshi,5,0,0,5
Anirudh Singh,3,0,0,3
Anish Charak,1,0,0,1
Anjar Tadarus,13,1,0,14
Ankit Chaudhary,2,2,0,4
Ankit Dabas,1,0,0,1
Ankit Dubey,1,0,0,1
Ankit Kaushik,6,1,0,7
Ankit Kushwah,3,2,0,5
Ankit Lamba,10,0,0,10
Ankit Maini,1,0,0,1
Ankit Sharma,12,0,0,12
Ankit Singh,2,0,0,2
Ankit Soni,1,0,0,1
Ankit Yadav,3,0,0,3
Anmol Malhotra,2,0,2,4
Anmoldeep Singh,1,0,0,1
Anmolpreet Singh,31,3,0,34
Anoop Orsu,5,0,0,5
Anowarul Islam,3,0,0,3
Anser Mehmood,1,0,0,1
Ansh Patel,1,2,0,3
Ansh Tandon,6,0,0,6
Anshul Tripathi,1,1,0,2
Anshuman Gautam,1,0,0,1
Anshuman Rath,21,2,0,23
Anuj Raj,1,1,0,2
Anuj Rawat,48,5,7,60
Anurag Sarangi,1,0,0,1
Anureet Singh,13,1,0,14
Anwar Ali,24,1,0,25
Anwar Arudin,3,0,0,3
Anwar Rahman,5,1,0,6
Aphsal Ashraf,1,0,0,1
Aqib Ilyas,16,2,0,18
Aqib Iqbal,16,7,0,23
Arabind Singh,2,0,0,2
Arafat Minhas,4,0,0,4
Arafat Sunny,2,0,0,2
Areeb Quadir,1,0,1,2
Ariful Haque,6,0,0,6
Aritra Dutta,6,1,0,7
Arjit Gupta,5,0,0,5
Arjit Pannu,0,1,1,2
Arjun Vinod,14,1,0,15
Arkaprabha Sinha,2,3,3,8
Arnab Nandi,5,0,0,5
Arpit Gaud,2,0,0,2
Arpit Vasavada,10,1,0,11
Arsalan Ahmed,3,1,0,4
Arsalan Arif,3,5,0,8
Arshad Iqbal,1,0,0,1
Arshad Khan,6,0,0,6
Arshad Mazarzei,1,0,0,1
Arshdeep Singh,31,7,0,38
Arslan Amjad,12,0,0,12
Arup Das,1,0,0,1
Aryan Juyal,1,1,0,2
Aryan Lakra,2,0,0,2
Aryan Sahani,1,0,0,1
Aryansh Sharma,1,1,0,2
Asad Ali Rehemtulla,4,1,0,5
Asad Mahmood,0,1,0,1
Asad Mohammad,4,0,0,4
Asad Shafiq,9,1,0,10
Asfan Khan,5,0,3,8
Ashfaq Ahmed,2,0,0,2
Ashiqullah Said,1,1,0,2
Ashish Thapa,4,0,0,4
Ashish Yadav,12,1,0,13
Ashith Rajiv,6,1,0,7
Ashok Sharma,1,0,0,1
Ashutosh Aman,5,0,0,5
Ashutosh Sharma,5,0,0,5
Ashutosh Singh,8,1,0,9
Ashwani Kumar,3,0,0,3
Ashwin Hebbar,14,2,0,16
Ashwin Vinod,7,0,0,7
Asif Afridi,3,0,0,3
Asif Ali,63,5,0,68
Asif Bevinje,1,1,0,2
Asif Iqbal,0,2,0,2
Asif Khan,6,1,0,7
Asif Shaikh,0,1,0,1
Aslam Khan,6,1,0,7
Aslan Jafri,1,0,0,1
Assad Borham,2,0,0,2
Aswin Crist,4,0,0,4
Ateeq Iqbal,8,1,0,9
Athar Mahmood,1,0,0,1
Atharva Ankolekar,4,1,0,5
Atharva Taide,13,2,0,15
Atif Kamal,4,1,0,5
Atif Mehmood,1,1,0,2
Atif Rasheed,3,1,0,4
Atif-Ur-Rehman,6,0,0,6
Aung Ko Ko,0,2,0,2
Auqib Nabi,1,0,0,1
Avesh Khan,23,7,0,30
Avi Dixit,1,1,0,2
Aviel Warsulkar,1,0,0,1
Avijit Singh,2,0,0,2
Avinash Yadav,1,1,0,2
Avishek Sinha,3,0,0,3
Avishka Iroshan,1,0,0,1
Avneesh Sudha,3,1,0,4
Awais Ahmad,1,0,0,1
Awais Ahmed,16,6,10,32
Awais Ikram,1,0,0,1
Ayan Bhattacharjee,1,1,0,2
Ayan Khan,25,7,0,32
Ayush Jamwal,7,1,0,8
Azam Khalil,3,0,0,3
Azam Khan,42,13,11,66
Azeem Nazir,2,0,0,2
Azhar Ali,3,0,0,3
Azhar Andani,3,0,0,3
Azhar Mahmood,9,1,0,10
Azim Kazi,5,0,0,5
Aziz Mohammad,0,3,0,3
Aziz Sualley,3,0,0,3
Azmatullah Omarzai,4,1,0,5
Azri Azhar,1,1,0,2
Azyan Farhath,4,2,0,6
B Akhil,3,1,0,4
B Akhilesh Reddy,1,0,0,1
B Angeltti,1,0,0,1
B Aparajith,20,2,0,22
B Arora,9,2,0,11
B Balala,1,0,0,1
B Bhandari,12,2,7,21
B Chipli,4,0,0,4
B Doggett,14,2,0,16
B Dugic,0,3,0,3
B Evans,1,0,0,1
B Fernando,1,1,0,2
B Fitchet,4,0,0,4
B Geeves,3,0,0,3
B George,7,1,0,8
B Indrajith,4,1,0,5
B Isaac,3,0,0,3
B Ito-Davis,7,2,0,9
B Ivanov,2,0,0,2
B Jerkovic,1,0,0,1
B Kgosiemang,4,1,0,5
B Khumalo,11,3,0,14
B Kohler-Cadmore,3,1,0,4
B Kumar,51,12,0,63
B Lalnunfela,1,0,0,1
B Laughlin,38,6,0,44
B Lee,21,9,0,30
B Lewis,0,1,0,1
B Likavu,0,1,0,1
B Maphosa,4,1,0,5
B Masaba,26,4,0,30
B Mavuta,2,0,0,2
B Muzarabani,13,3,0,16
B Namsrai,3,0,0,3
B Niaz,3,0,0,3
B Nikitaras,1,0,0,1
B Pondani,2,1,0,3
B Rahman,1,0,0,1
B Regmi,2,0,0,2
B Sai Sudharsan,13,2,0,15
B Schuster,1,0,0,1
B Shikongo,11,3,0,14
B Siddharth,1,0,0,1
B Stanlake,10,0,0,10
B Sumanth,4,0,0,4
B Swanepoel,3,1,0,4
B Vakatini,3,0,0,3
B Ward,11,3,0,14
B White,7,0,0,7
B Yadav,6,0,0,6
B Zuiderent,1,0,0,1
BA Bhatt,4,0,0,4
BA Carse,10,0,0,10
BA King,55,0,0,55
BA Pai,10,3,0,13
BA Pathan,0,1,0,1
BA Simango,1,0,0,1
BA Stokes,52,10,0,62
BA Viraliliu,2,1,0,3
BAA Zammitt,1,0,0,1
BAC Howell,4,0,0,4
BAD Manenti,8,1,0,9
BAW Mendis,5,2,0,7
BB Chari,2,0,0,2
BB Ghosh,2,0,0,2
BB McCullum,110,29,14,153
BB Roy,1,0,0,1
BB Samantray,8,3,0,11
BB Sran,7,2,0,9
BBJL Perera,4,0,0,4
BC Fortuin,10,3,0,13
BC Sahin,0,1,0,1
BCJ Cutting,83,3,0,86
BD Glover,6,0,0,6
BDH Stevens,10,0,0,10
BE Hendricks,12,1,0,13
BFW de Leede,25,3,0,28
BG Drew,1,2,0,3
BG Lister,4,1,0,5
BH Merai,1,0,0,1
BI Dilruksha,2,0,4,6
BJ Bennett,10,3,0,13
BJ Currie,9,1,0,10
BJ Davidson,1,0,0,1
BJ Dwarshuis,27,2,0,29
BJ Haddin,44,9,12,65
BJ Hodge,47,8,0,55
BJ Holt,8,2,2,12
BJ McCarthy,9,4,0,13
BJ McMullen,11,2,0,13
BJ Rohrer,21,7,0,28
BJ Watling,3,0,0,3
BJ Webster,45,3,0,48
BK Stroud,1,0,0,1
BKB Corbin,1,1,0,2
BKG Mendis,45,15,16,76
BL Couch,3,1,0,4
BLCS Kumara,1,0,0,1
BM Duckett,31,0,0,31
BM Edmondson,3,1,0,4
BM Pecic,7,2,0,9
BM Scholtz,14,0,0,14
BM Tickner,2,1,0,3
BM Wheeler,1,0,0,1
BMAJ Mendis,11,2,0,13
BN Cooper,35,0,0,35
BN Toube,2,1,0,3
BP Adapaka,1,0,0,1
BR Dunk,83,6,5,94
BR McDermott,68,2,3,73
BR Sharath,15,3,7,25
BRM Taylor,17,8,1,26
BS Makhanya,4,0,0,4
BS Sharma,1,0,0,1
BS Stephenson,2,1,0,3
BT Foakes,1,0,0,1
BTJ Wheal,11,4,0,15
BV Save,2,0,0,2
BV Sears,2,0,0,2
BV Vitori,2,0,0,2
BW Hilfenhaus,12,2,0,14
Babar Azam,110,8,0,118
Babar Hayat,43,7,0,50
